 H & D Panificação Ltda,"('AVENIDA PRESIDENTE TANCREDO NEVES', '4712100', '9521500')"
 Cordeiro Auto Elétrica Ltda,"('RUA PADRE PEDRO PINTO', '4530703', '4520001')"
 Gran Farma,"('RUA IZABEL BUENO', '4713001', '')"
 MADALENA MIX BURGER,"('RUA MACARENA', '5611201', '5611202')"
 Casa dos Parafusos,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Spazio Luciano Chaves,"('RUA FRANCISCO BICALHO', '9602502', '9602501')"
 EURO FREIOS & EMBREAGENS,"('RUA ENGENHEIRO CALDAS', '4520001', '')"
 Salão Elegance,"('RUA BORGES', '9602501', '4772500')"
 Enoque Capotaria,"('RUA JOSE FERREIRA DOS SANTOS', '4520001', '4732600')"
 Luxúria Boutique,"('RUA LIBANO', '4781400', '4782201')"
 Restaurante Verdim,"('AVENIDA SANTA TEREZINHA', '5611201', '4712100')"
 Centro de Formação de Condutores Educatrans,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Mare Motos Motopeças e Oficina,"('RUA SAO MATIAS', '4520001', '')"
 Loja Oi,"('AVENIDA ABILIO MACHADO', '4711302', '4713001')"
 Eliana Queiroz Ind e Com,"('AVENIDA PORTUGAL', '4781400', '4782201')"
 Casa Do Padeiro,"('RUA PADRE PEDRO PINTO', '4712100', '4723700')"
 Bar e Lanchonete Sá,"('RUA FURQUIM WERNECK', '5611201', '5611202')"
 Ateliê do sapato,"('AVENIDA PROFESSOR MARIO WERNECK', '4781400', '4782201')"
 Ana Fortunatta,"('RUA CUSTODIO DE MELO', '4781400', '')"
 Escola Municipal Professor Milton Lage,"('RUA D', '8512100', '')"
 Borracharia do Baiano,"('RUA JOSE LINS DO REGO', '4520001', '')"
 Pontual Peças e Acessórios,"('AVENIDA DOM PEDRO II', '4520001', '4520002')"
 Hora H Peças Íntimas Ltda,"('RUA CAPUTIRA', '1412601', '4781400')"
 Assembleia de Deus,"('RUA PITT', '9491000', '')"
 Brilhar Cabeleireiro,"('RUA ILDEFONSO ALVIM', '9602501', '')"
 Padaria Bento XVI,"('RUA CONSELHEIRO LAFAIETE', '1091102', '')"
 Tecelagem Profissional Brasil Ltda,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Igreja Viva,"('RUA MANTIQUEIRA', '9491000', '')"
 Objetaria,"('AVENIDA FLEMING', '5620104', '4789003')"
 Igreja Batista Carlos Prates,"('RUA ESPINOSA', '9491000', '')"
 Pactual Negócios Imobiliários,"('AVENIDA RAJA GABAGLIA', '6822600', '6821801')"
 Jardim Fitness Academia,"('RUA MONTEIRO LOBATO', '9313100', '9602501')"
 IGREJA BATISTA GRACA,"('RUA CONEGO FLORIANO', '9491000', '')"
 Igreja Presbiteriana Floresta,"('RUA RIO NOVO', '9491000', '')"
 Frecar - Som e Segurança Automotiva,"('AVENIDA CRISTIANO MACHADO', '4520004', '4520001')"
 Igreja Batista de Nova Esperança,"('RUA ALABANDINA', '9491000', '')"
 Planeta Lúpulo,"('AVENIDA GUARAPARI', '4721104', '5611202')"
 Padaria Vovó Dudu,"('RUA ITAGUAI', '4721102', '4712100')"
 Mecânica Mota,"('RUA ESTORIL', '4520001', '4530701')"
 Alexander Cabeleireiro,"('AVENIDA DOUTOR CRISTIANO GUIMARAES', '9602502', '9602501')"
 BH INK Tonner Serv de Informática,"('RUA PADRE PEDRO PINTO', '4753900', '4752100')"
 Portal TroCar,"('RUA JATAI', '4520001', '')"
 Igreja Batista Nacional Vida e Paz,"('RUA MANUEL FERREIRA LEAL', '9491000', '')"
 Pizza Bar,"('RUA AGENOR DE PAULA ESTRELA', '5611201', '5611202')"
 Minas Lavebel Serviços construcao e pequenas reformas e pinturas,"('RUA MARGARIDA ARAUJO', '4321500', '4322302')"
 Academia Sport Fitness,"('RUA BARAO DE COROMANDEL', '9313100', '4763602')"
 ARMÁRIOS PLANEJADOS REAL,"('AVENIDA VILARINHO', '3101200', '4744002')"
 Kalu Modas,"('AVENIDA SARAMENHA', '4520001', '4781400')"
 Pedaço de Pano Com de Roupas e Acessórios Ltda,"('RUA DESEMBARGADOR PAULO MOTA', '5813100', '4781400')"
 Padaria Voyage,"('RUA ARA', '5612100', '4712100')"
 Trairas Beer's do Toninho,"('RUA FURQUIM WERNECK', '4771701', '4712100')"
 Rei do Canudinho,"('RUA PEDRO LESSA', '4712100', '5611202')"
 Ávila Burguer,"('RUA DAS CHACARAS', '4712100', '')"
